,Name,Address,Access size,R/W,Initial value
1,PID4,0x4001_BFDO,32 bits,R,0x00000004
2,PID5,0x4001_BFD4,32 bits,R,0x00000000
3,PID6,0x4001_BFD8,32 bits,R,0x00000000
4,PID7,0x4001_BFDC,32 bits,R,0x00000000
5,PIDO,0x4001_BFE0,32 bits,R,0x00000005
6,PID1,0x4001_BFE4,32 bits,R,0x00000030
7,PID2,0x4001_BFE8,32 bits,R,0x0000001A
8,PID3,0x4001_BFEC,32 bits,R,0x00000000
9,CIDO,0x4001_BFF0,32 bits,R,0x0000000D
10,CID1,0x4001_BFF4,32 bits,R,0x000000F0
11,CID2,0x4001_BFF8,32 bits,R,0x00000005
12,CID3,0x4001_BFFC,32 bits,R,0x000000B1
