,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,NetX_wifi,Supported,,
3,USBX_phid,Supported,,
4,USBX_pprn,Supported,,
5,_quickstart,Supported,,
6,adc,Supported,,
7,adc_gpt_periodic_sampling,Supported,,
8,agt,Supported,Supported,Supported
9,audio_playback_pwm,Supported,,
10,baremetal,Supported,,
11,cac,Supported,,
12,can_fd,Supported,,
13,cpp,Supported,,
14,crc,Supported,,
15,dac,Supported,,
16,dac_agt_periodic_signal_generator,Supported,,
17,dmac,Supported,Supported,Supported
18,doc,Supported,,
19,elc,Supported,,
20,flash_hp,Supported,Supported,Supported
21,freertos,Supported,Supported,Supported
22,gpt,Supported,Supported,Supported
23,gpt_input_capture,Supported,,
24,i3c_master,Supported,,
25,i3c_slave,Supported,,
26,icu,Supported,Supported,Supported
27,iwdt,Supported,,
28,lpm,Supported,,
29,lvd,Supported,,
30,rtc,Supported,Supported,Supported
31,sci_i2c_master,Supported,,
32,sci_spi,Supported,Supported,Supported
33,sci_uart,Supported,Supported,Supported
34,spi,Supported,Supported,Supported
35,ssi,Supported,,
36,ssi_slave,Supported,,
37,tfu,Supported,,
38,usb_pcdc,Supported,,
