,Series,Group,Title,Rev.,Document No.
1,RX700,RX71M,RX71M Group User's Manual: Hardware,1.00,R01UH0493EJ0100
2,RX600,RX64M,RX64M Group User's Manual: Hardware,1.00,R01UH0377EJ0100
3,,RX630,RX630 Group User's Manual: Hardware,1.60,R01UH0040EJ0160
4,,"RX63N, RX631","RX63N Group, RX631 Group User's Manual: Hardware",1.80,R01UH0041EJ0180
5,,RX634,RX634 Group User's Manual: Hardware,1.00,R01UH0495EJ0100
6,,RX63T,RX63T Group User's Manual: Hardware,2.20,R01UH0238EJ0220
7,RX200,RX210,RX210 Group User's Manual: Hardware,1.50,R01UH0037EJ0150
8,,RX21A,RX21A Group User's Manual: Hardware,1.10,R01UH0251EJ0110
9,,RX220,RX220 Group User's Manual: Hardware,1.10,R01UH0292EJ0110
10,,"RX230, RX231","RX230 Group, RX231 Group User's Manual: Hardware",1.10,R01UH0496EJ0110
11,,RX23T,RX23T Group User's Manual: Hardware,1.10,R01UH0520EJ0110
12,,RX24T,RX24T Group User's Manual: Hardware,1.00,R01UH0576EJ0100
13,RX100,RX110,RX110 Group User's Manual: Hardware,1.10,R01UH0421EJ0110
14,,RX111,RX111 Group User's Manual: Hardware,1.20,R01UH0365EJ0120
15,,RX113,RX113 Group User's Manual: Hardware,1.10,R01UH0448EJ0110
16,,RX130,RX130 Group User's Manual: Hardware,1.00,R01UH0560EJ0100
