,R5F565NEHGBG#20,-,Changed,RX family,LFBGA
1,R5F566NDDDBG#20,-,Changed,RX family,LFBGA
2,R5F566NDDGBG#20,-,Changed,RX family,LFBGA
3,R5F566NDHDBG#20,-,Changed,RX family,LFBGA
4,R5F566NDHGBG#20,-,Changed,RX family,LFBGA
5,R5F566NNDDBG#20,-,Changed,RX family,LFBGA
6,R5F566NNDGBG#20,-,Changed,RX family,LFBGA
7,R5F566NNHDBG#20,-,Changed,RX family,LFBGA
8,R5F566NNHGBG#20,-,Changed,RX family,LFBGA
9,R5F572MDDDBG#20,-,Changed,RX family,LFBGA
10,R5F572MDDGBG#20,-,Changed,RX family,LFBGA
11,R5F572MDHDBG#20,-,Changed,RX family,LFBGA
12,R5F572MDHGBG#20,-,Changed,RX family,LFBGA
13,R5F572MNDDBG#20,-,Changed,RX family,LFBGA
14,R5F572MNDGBG#20,-,Changed,RX family,LFBGA
15,R5F572MNHDBG#20,-,Changed,RX family,LFBGA
16,R5F572MNHGBG#20,-,Changed,RX family,LFBGA
17,R5F572NDDDBG#20,-,Changed,RX family,LFBGA
18,R5F572NDDGBG#20,-,Changed,RX family,LFBGA
19,R5F572NDHDBG#20,-,Changed,RX family,LFBGA
20,R5F572NDHGBG#20,-,Changed,RX family,LFBGA
21,R5F572NNDDBG#20,-,Changed,RX family,LFBGA
22,R5F572NNDGBG#20,-,Changed,RX family,LFBGA
23,R5F572NNHDBG#20,-,Changed,RX family,LFBGA
24,R5F572NNHGBG#20,-,Changed,RX family,LFBGA
25,R4F2153VBR25KDV,Changed,-,H8S family,LFBGA
26,R5F61662N50LGV,Changed,-,H8SX family,TFLGA
27,R5F61665D50LGV,Changed,-,H8SX family,TFLGA
28,R4F24279NVLPV,Changed,-,H8S family,TFLGA
29,DF2117RVLP20DHV,Changed,-,H8S family,TFLGA
30,DF2117RVPLP20HV,Changed,-,H8S family,TFLGA
31,R4F2113DLG#U0,Changed,-,H8S family,TFLGA
32,R4F2113NLG#U0,Changed,-,H8S family,TFLGA
33,R5F56216BDLD#U0,Changed,-,RX family,TFLGA
34,R5F56217BDLD#U0,Changed,-,RX family,TFLGA
35,R5F56218BDLD#U0,Changed,-,RX family,TFLGA
36,R5F56216BDLE#U0,Changed,-,RX family,TFLGA
37,R5F56217BDLE#U0,Changed,-,RX family,TFLGA
38,R5F56218BDLE#U0,Changed,-,RX family,TFLGA
39,R5F562N7ADLE#U0,Changed,-,RX family,TFLGA
40,R5F562N7BDLE#U0,Changed,-,RX family,TFLGA
41,R5F562N8ADLE#U0,Changed,-,RX family,TFLGA
42,R5F562N8BDLE#U0,Changed,-,RX family,TFLGA
